Du rififi chez les hommes;Crime;Drama;Thriller;118;79
On the Waterfront;Crime;Drama;Thriller;108;74
Le salaire de la peur;Adventure;Drama;Thriller;131;69
Ace in the Hole;Drama;Film-Noir;;111;58
White Heat;Action;Crime;Drama;114;81
The Third Man;Film-Noir;Mystery;Thriller;104;79
The Red Shoes;Drama;Music;Romance;135;81
The Shop Around the Corner;Comedy;Drama;Romance;99;78
Rebecca;Drama;Mystery;Romance;130;70
Mr, Smith Goes to Washington;Comedy;Drama;;129;59
Gone with the Wind;Drama;History;Romance;238;79
La Grande Illusion;Drama;War;;113;81
It Happened One Night;Comedy;Romance;;105;70
La passion de Jeanne d'Arc;Biography;Drama;History;110;81
The Circus;Comedy;Romance;;72;73
Sunrise: A Song of Two Humans;Drama;Romance;;94;81
The General;Action;Adventure;Comedy;67;81
Das Cabinet des Dr, Caligari;Fantasy;Horror;Mystery;76;81
Badhaai ho;Comedy;Drama;;124;80
Togo;Adventure;Biography;Drama;113;55
Airlift;Drama;History;;130;80
Bajrangi Bhaijaan;Action;Adventure;Comedy;163;80
Baby;Action;Thriller;;159;80
La La Land;Comedy;Drama;Music;128;75
Lion;Biography;Drama;;118;55
The Martian;Adventure;Drama;Sci-Fi;144;64
Zootopia;Animation;Adventure;Comedy;108;62
B?hubali: The Beginning;Action;Drama;;159;80
Kaguyahime no monogatari;Animation;Adventure;Drama;137;71
Wonder;Drama;Family;;113;53
Gully Boy;Drama;Music;Romance;154;52
Special Chabbis;Crime;Drama;Thriller;144;80
Short Term 12;Drama;;;96;66
Serbuan maut 2: Berandal;Action;Crime;Thriller;150;57
The Imitation Game;Biography;Drama;Thriller;114;58
Guardians of the Galaxy;Action;Adventure;Comedy;121;61
Blade Runner 2049;Action;Drama;Mystery;164;65
Her;Drama;Romance;Sci-Fi;126;72
Bohemian Rhapsody;Biography;Drama;Music;134;80
The Revenant;Action;Adventure;Drama;156;61
The Perks of Being a Wallflower;Drama;Romance;;103;54
Tropa de Elite 2: O Inimigo Agora é Outro;Action;Crime;Drama;115;57
The King's Speech;Biography;Drama;History;118;70
The Help;Drama;;;146;50
Deadpool;Action;Adventure;Comedy;108;52
Darbareye Elly;Drama;Mystery;;119;70
Dev,D;Drama;Romance;;144;80
Yip Man;Action;Biography;Drama;106;80
My Name Is Khan;Drama;;;165;80
Nefes: Vatan Sagolsun;Action;Drama;Thriller;128;80
Slumdog Millionaire;Drama;Romance;;120;67
Black Swan;Drama;Thriller;;108;63
Tropa de Elite;Action;Crime;Drama;115;80
The Avengers;Action;Adventure;Sci-Fi;143;55
Persepolis;Animation;Biography;Drama;96;72
Dallas Buyers Club;Biography;Drama;;117;64
The Pursuit of Happyness;Biography;Drama;;117;51
Blood Diamond;Adventure;Drama;Thriller;143;51
The Bourne Ultimatum;Action;Mystery;Thriller;115;68
Bin-jip;Crime;Drama;Romance;88;58
Sin City;Crime;Thriller;;124;59
Le scaphandre et le papillon;Biography;Drama;;112;74
G,O,R,A,;Adventure;Comedy;Sci-Fi;127;80
Ratatouille;Animation;Adventure;Comedy;111;77
Casino Royale;Action;Adventure;Thriller;144;64
Kill Bill: Vol, 2;Action;Crime;Thriller;137;66
